,mix,SDR,SIR,SAR,PESQ
79,mix_80,"[[-16.81645335933856], [-17.58575150597436]]","[[3.4323738551215763], [-1.0070148990720538]]","[[-15.150518713960357], [-13.94627689934131]]","[1.0364381074905396, 1.0220425128936768]"
80,mix_81,"[[-19.182901724914664], [-12.84759224470217]]","[[-0.6269582486281886], [6.869514956787964]]","[[-15.786832015011132], [-11.988914862334546]]","[1.025594711303711, 1.0251274108886719]"
81,mix_82,"[[-18.245616834499593], [-17.53698394883882]]","[[6.454449890122924], [0.4633090581560942]]","[[-17.345148003743407], [-14.682785572997334]]","[1.1465563774108887, 1.0244807004928589]"
82,mix_83,"[[-21.48198976707485], [-17.00930007452749]]","[[-0.6593788848495935], [6.800383132964619]]","[[-18.093413420472636], [-16.16725436868624]]","[1.0324469804763794, 1.03706693649292]"
83,mix_84,"[[-19.274329687363977], [-19.14966121994366]]","[[1.1042280556227135], [2.610449854995538]]","[[-16.74115534987116], [-17.222278706795578]]","[1.0226439237594604, 1.0185611248016357]"
84,mix_85,"[[-20.342220589872248], [-18.907435074790875]]","[[0.5242164777793135], [2.3467637033353297]]","[[-17.55040305490159], [-16.88123741779721]]","[1.0599919557571411, 1.0249660015106201]"
85,mix_86,"[[-18.55798565093596], [-19.15553789254551]]","[[1.5741867537771337], [5.946797375462738]]","[[-16.221508436909893], [-18.158142054094448]]","[1.02456533908844, 1.0805422067642212]"
86,mix_87,"[[-16.734346283699434], [-19.788600464455147]]","[[2.641405184064323], [-0.30612325679387287]]","[[-14.796520447713029], [-16.57333888235177]]","[1.086913824081421, 1.0475937128067017]"
87,mix_88,"[[-17.526597077080254], [-18.068862866324693]]","[[-0.8458719246166089], [3.544333200850758]]","[[-13.978520407403888], [-16.44870910364321]]","[1.0279924869537354, 1.0414199829101562]"
88,mix_89,"[[-20.638761146113055], [-18.354115310031144]]","[[-2.5189832925406694], [4.937092035609735]]","[[-16.121361677465366], [-17.125205129187872]]","[1.0387734174728394, 1.0224716663360596]"
89,mix_9,"[[-16.188437556670856], [-20.26994611298271]]","[[2.4505441383149504], [1.2098334046149397]]","[[-14.172988728553108], [-17.791570246130053]]","[1.0318998098373413, 1.0237990617752075]"
90,mix_90,"[[-20.878368132725633], [-21.92289278042508]]","[[-0.98264729226317], [2.7474489984828954]]","[[-17.304297276589423], [-20.057741880239405]]","[1.0526342391967773, 1.038534164428711]"
91,mix_91,"[[-15.904590088026646], [-16.17750660564525]]","[[1.9586656464806649], [0.6650278508453611]]","[[-13.692506546524921], [-13.396208503464761]]","[1.0342848300933838, 1.0376806259155273]"
92,mix_92,"[[-17.900985106762242], [-20.89363877709392]]","[[0.14569341716409318], [3.6046217634087836]]","[[-14.894286247910635], [-19.30649556272293]]","[1.024568796157837, 1.0451745986938477]"
93,mix_93,"[[-18.540849387248098], [-16.81648566558592]]","[[1.9111572855647467], [0.6738024800224487]]","[[-16.342523449751432], [-14.051931926971456]]","[1.0305157899856567, 1.0802006721496582]"
94,mix_94,"[[-19.841417874533434], [-22.241684157997913]]","[[1.9506098671045229], [1.6355913976222192]]","[[-17.66897611834188], [-19.954811772365964]]","[1.061407208442688, 1.0268702507019043]"
95,mix_95,"[[-22.887926256862134], [-17.8028707112885]]","[[-0.9532596572558356], [2.8820649519534]]","[[-19.34698726246016], [-15.961538827352156]]","[1.0292237997055054, 1.0773890018463135]"
96,mix_96,"[[-19.140684863118963], [-17.847187670473037]]","[[2.640839407758043], [2.7941847598760337]]","[[-17.224182282632636], [-15.975405833827896]]","[1.256512999534607, 1.0657751560211182]"
97,mix_97,"[[-20.76550731026028], [-19.145009551979907]]","[[-0.5534130170461288], [3.6685769006009012]]","[[-17.428134097432483], [-17.569849087999106]]","[1.025382399559021, 1.0720341205596924]"
98,mix_98,"[[-20.35340465330187], [-17.79552302211158]]","[[0.7223739964436847], [1.1420638474621916]]","[[-17.655256138210184], [-15.262998529353855]]","[1.1043754816055298, 1.234655499458313]"
99,mix_99,"[[-16.98153023043959], [-20.36353317291269]]","[[4.165183636201211], [1.0840597732567738]]","[[-15.539044871167116], [-17.83029501124999]]","[1.035033106803894, 1.4314032793045044]"
